,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,label
0,-0.12568092,0.42044348,-0.62595963,0.37484914,-0.13121068,0.21426457,-0.25681135,-0.18369025,-0.5777961,-1.3600464,0.901519,-0.82086384,-0.2807183,-1.4268014,0.08742647,-0.6291446,-2.224301,-0.7242377,0.87740487,0.16077077,0.37967604,-0.048787825,-0.07445489,0.15367174,0.14997351,0.13601854,0.21308897,-0.32551038,0.09359055,-0.06715921
1,-0.08895364,0.07464053,-0.24565144,0.21888016,0.070121475,0.04312186,0.048999693,-0.3964905,-0.1478244,-0.65260947,0.2710345,-0.28829938,-0.2572474,-0.64386946,-0.025283692,-0.19110382,-0.6256718,-0.22647399,0.083511405,0.28695226,0.11865478,-0.12124073,-0.10732648,0.21949117,-0.016900918,-0.11003159,0.12634856,-0.052101362,-0.02067409,-0.050561596
2,-0.0668174,0.2502736,-0.15379845,0.3615088,0.048089664,0.03130804,0.08595869,-0.4592272,-0.1821301,-0.698065,0.59741473,-0.46084082,-0.24774097,-0.8869322,0.08463156,-0.295966,-0.7402804,-0.43319827,0.31186447,0.2071979,0.14219743,-0.05179437,-0.045820408,0.13038078,-0.09927894,-0.07263328,0.12026253,-0.1573475,-0.18286486,-0.16429317
3,0.019601654,0.24777927,-0.3319499,0.4076935,0.01640554,0.16180645,-0.001554406,-0.16800442,-0.24887209,-0.64637256,0.38510758,-0.28756273,-0.22411267,-0.7510813,-0.026646657,-0.29114082,-0.6914403,-0.061819427,0.26221898,0.07012302,0.22444324,-0.07134411,-0.14540364,0.11177354,0.2224364,-0.044287868,-0.034124475,-0.19148497,-0.1967046,-0.22128776
4,-0.1085361,0.49448824,-0.40149748,0.4906685,-0.0075379745,0.25789875,-0.060685396,-0.10959288,-0.35460517,-0.9403056,0.7987509,-0.5777191,-0.16515517,-1.0371115,0.10740565,-0.41123888,-1.4147221,-0.50560546,0.5461165,0.13705064,0.28504774,-0.043971464,-0.057730746,0.09471247,0.04266996,0.23102102,0.06403318,-0.2613165,-0.01230206,-0.18010394
5,-0.104274236,0.18091474,-0.13639332,0.27399927,-0.02907045,0.12109539,-0.08612377,-0.37342948,-0.20493506,-0.69862425,0.3787185,-0.32345867,-0.21115503,-0.7286293,0.06472081,-0.22612937,-0.76967436,-0.31342992,0.16175081,0.25070477,0.15353961,0.013539289,0.0010962742,0.09514777,0.08691941,-0.055142395,0.065031394,-0.083674066,-0.0020735958,-0.1366902
6,-0.10955225,0.17370544,-0.14612854,0.40445304,0.27029833,0.18383484,0.10950762,-0.47395957,-0.30220148,-0.65728784,0.34239233,-0.45570517,-0.30001605,-0.9133947,0.042173196,-0.32223308,-0.8368313,-0.28410837,0.085285746,0.21469903,0.17306872,0.019166443,-0.18972033,0.14562127,-0.0076554194,0.024023876,0.10741341,-0.059982624,-0.18929754,-0.26496875
7,-0.03090154,0.24898311,-0.4521007,0.19349635,-0.045419812,0.09115035,-0.17706507,-0.20310502,-0.4295967,-0.81179386,0.43514743,-0.44599462,-0.19894496,-0.80831724,0.08971962,-0.22550908,-1.1522306,-0.3943197,0.4570641,-0.014229162,0.071410224,-0.017054316,-0.082344204,0.12662241,0.09368157,0.018428296,0.10862841,-0.2607347,0.08090463,0.0283636
8,-0.10402941,0.27443826,-0.3993532,0.22859424,-0.06874315,0.087127246,-0.19052148,-0.21259648,-0.28275064,-0.7503654,0.42013884,-0.44886744,-0.12814838,-0.8033785,-0.017907126,-0.30415997,-1.1656431,-0.35464567,0.27736732,0.05657688,0.17436756,-0.0933702,-0.10527749,0.007056346,0.059180427,-0.06770757,0.09183712,-0.21600865,0.0651867,-0.0009575607
9,0.08573858,0.094565496,-0.19828306,0.3683248,0.13508888,-0.031206964,0.31197283,-0.17443377,-0.01643177,-0.17489636,0.21093215,-0.07031777,-0.18626727,-0.49173865,0.0811842,0.08834926,0.13389659,0.3421496,-0.25591937,0.14360586,0.28572077,-0.21010156,0.028491808,0.06948402,0.062199898,-0.121463865,0.053601716,-0.047878865,-0.21672678,-0.25896254
10,-0.11866402,0.2220173,-0.1386713,0.2316104,-0.024287445,0.01180408,-0.113152236,-0.059982397,-0.24881758,-0.4801063,0.24615462,-0.25113967,-0.26541913,-0.5611137,0.026981832,-0.15980871,-0.5518953,-0.1973519,0.12580073,0.08260979,0.12783177,-0.0034010904,-0.08992345,0.08315744,0.096214324,-0.0030642822,0.10016546,-0.13797691,-0.011715263,-0.06348626
11,0.011404952,0.19303916,-0.23786353,0.27962947,0.103215404,0.17135014,0.19173868,-0.3364092,-0.18607132,-0.5832356,0.33036152,-0.41797435,-0.27932203,-0.75335795,0.13208583,-0.21441527,-0.83115715,-0.25668982,0.1454986,0.29943138,0.18837057,-0.19600867,-0.03941799,0.12896925,0.089674056,-0.042493768,0.01910713,-0.07053178,-0.0152300615,-0.21270758
12,-0.13233176,0.33424783,-0.33044648,0.38640606,0.02913819,0.062342294,-0.07306074,-0.23313218,-0.38200882,-0.7491742,0.42382774,-0.5610585,-0.37731105,-0.87498623,0.14161076,-0.43123218,-1.100683,-0.37258258,0.60738915,0.041018013,0.24680036,0.09401708,-0.11634273,0.12150564,-0.09483081,0.002791816,0.16554996,-0.26985112,-0.045650385,-0.0336516
13,-0.03505874,0.39958206,-0.37207723,0.46918568,1.5316997e-05,0.13943446,0.11442177,-0.24391222,-0.424294,-0.9227442,0.765102,-0.5895474,-0.33848193,-1.0864657,0.030951055,-0.51161104,-1.4751737,-0.47411525,0.5060102,0.13188206,0.2616946,-0.059740927,-0.08753126,0.1140258,-0.029208235,0.15894862,0.05027705,-0.25392175,-0.039263006,-0.11186846
14,-0.019336864,0.1704069,-0.27721792,0.57398486,0.22308594,-0.09720833,0.08678147,-0.5208675,-0.32793978,-0.5417868,0.41112864,-0.39571935,-0.2645073,-0.89511454,-0.004956243,-0.18558726,-0.31765807,0.02284462,-0.082061894,0.19838093,0.022376947,0.046402164,-0.060167976,0.1296485,0.036459923,0.01526368,-0.014117731,-0.12006039,-0.34536108,-0.18186623
15,-0.02816986,0.37665045,-0.31954306,0.4930598,0.15884873,0.2651772,0.071338974,-0.4228397,-0.29353425,-0.7945571,0.4866296,-0.4924308,-0.3865053,-0.90105706,-0.1736382,-0.20338407,-0.7011197,-0.15640742,0.020233696,0.23716351,0.23676234,-0.16961065,-0.30465204,0.15562266,0.12457552,0.10093956,-0.07927859,-0.16848952,-0.1969972,-0.29904556
16,-0.096989684,0.36746055,-0.38753068,0.37242085,0.029587207,0.19050723,0.04809879,-0.15948084,-0.38560998,-0.72411346,0.42237094,-0.46595162,-0.19105357,-0.7917928,-0.04538707,-0.35716602,-0.8974861,-0.30250365,0.3981117,-0.011079675,0.21830755,0.067250215,-0.14636578,0.13674285,0.06598062,0.11235568,-0.06434509,-0.22488156,-0.057953265,-0.15965226
17,-0.24038959,0.32343948,-0.20331421,0.40199274,-0.00026969938,0.16083878,-0.10256566,-0.28621417,-0.39179587,-1.1171839,0.74340093,-0.7567183,-0.36099792,-1.2692288,-0.018505065,-0.55773795,-1.7317849,-0.4897078,0.5884339,0.15916333,0.25817248,-0.0559792,-0.12748893,0.18572503,0.053840168,-0.01819393,0.23478697,-0.18141115,-0.019095868,-0.111685835
18,-0.021339107,0.32970065,-0.29267347,0.2113748,0.054792337,0.06804196,-0.10059499,-0.11629875,-0.2818765,-0.7364845,0.42521608,-0.4116361,-0.18301713,-0.76806086,0.052828494,-0.27057636,-1.0011381,-0.2639588,0.34488484,0.11586728,0.20769289,0.04925519,0.11993678,0.15591148,-0.00047589839,0.05565116,0.056384783,-0.12235135,-0.08043645,-0.17054494
19,-0.03332149,0.3165251,-0.38450408,0.33440155,0.08269878,0.14501883,0.042258896,-0.2238618,-0.17122896,-0.6147414,0.48735693,-0.32781434,-0.29096922,-0.74676764,0.18284184,-0.14873141,-0.72146636,-0.21563853,0.24991754,0.1752157,0.15585174,-0.088034414,0.07873611,0.055993494,0.04945814,-0.019948922,0.07445334,-0.14313212,0.04487922,-0.048120696
20,-0.16557127,0.35242385,-0.48257595,0.33493102,-0.015012322,0.18661596,-0.19878994,-0.2691006,-0.32416746,-1.0738821,0.6504377,-0.5407799,-0.3515763,-0.88633406,-0.021226464,-0.46894547,-1.5766941,-0.46945953,0.59266305,0.12655833,0.21465564,0.12985499,-0.047022663,0.23885542,-8.068979e-05,-0.03549837,0.1950346,-0.32859147,-0.06875539,0.05469354
21,-0.092730425,0.2838594,-0.260451,0.37211612,0.09472166,0.15498795,-0.012547395,-0.14428364,-0.32236,-0.6050557,0.40713796,-0.48781216,-0.097984284,-0.7875772,0.07896568,-0.23897703,-0.78418535,-0.10196764,0.36283278,0.07435691,0.20437808,-0.11021405,-0.08453378,-0.017265461,0.12613478,0.11386073,0.10520947,-0.23700832,-0.07881716,-0.17619848
22,-0.2388561,0.5804304,-0.5141295,0.5917509,-0.049094252,0.12967657,-0.3024158,-0.116139166,-0.75925314,-1.5430101,0.81353325,-0.88113236,-0.2432647,-1.6012284,-0.0064906753,-0.6680737,-2.4747324,-0.7984195,0.9385107,0.08645523,0.41491356,0.23421721,-0.31870097,0.09118193,-0.05384939,0.10643506,0.33243635,-0.35180837,0.11062993,-0.018087734
23,-0.18257369,0.3912757,-0.47001308,0.28500462,0.08209975,0.13535324,-0.12867294,-0.24475741,-0.3365466,-0.8168459,0.5383501,-0.44724762,-0.25378594,-0.92618865,0.039984133,-0.25326952,-1.1530343,-0.40812698,0.31916878,0.15097724,0.14977512,-0.12737271,-0.20044728,0.24037156,0.21514133,0.11295307,-0.015818845,-0.26806787,-0.06629681,-0.08241109
24,-0.15918913,0.25175783,-0.37989128,0.28178552,0.10395947,0.04396508,-0.12189472,-0.23459065,-0.3087868,-0.8054164,0.3532352,-0.50996137,-0.2649934,-0.87402034,-0.030294312,-0.2771529,-1.1122036,-0.31353748,0.3544107,0.10750628,0.30565003,0.02870734,-0.2323482,0.16801864,-0.014201518,-0.016726483,0.17591602,-0.094939105,-0.058320925,-0.08666083
25,0.12767565,0.07458241,-0.11079319,0.37087187,0.43010056,-0.09861263,0.2952806,-0.33344364,-0.0065240925,-0.13756728,0.24001093,-0.07949836,-0.25592935,-0.39017057,-0.12256571,0.1861673,0.7705049,0.29570952,-0.33923498,0.096507005,-0.029481955,-0.22220191,-0.2383023,0.04870406,0.02358187,0.052944254,-0.04535718,0.14979358,-0.25798777,-0.309825
26,-0.097488664,0.37723082,-0.4565813,0.38061675,-0.09676183,0.13465111,-0.18528436,-0.050200913,-0.45457634,-0.94190264,0.6262055,-0.52034974,-0.25740796,-0.9914518,0.0051937276,-0.36271617,-1.6045675,-0.4433807,0.5989979,-0.017031422,0.27809912,-0.0022214716,-0.10438788,0.15557659,0.09723525,0.104808465,0.16558354,-0.22121254,0.103313774,-0.13857672
27,-0.16167602,0.4377672,-0.5359698,0.39808083,-0.18185243,0.1540334,-0.24684116,-0.095734484,-0.4940798,-1.1339033,0.84364146,-0.6801894,-0.22670318,-1.2118968,0.14434353,-0.5585195,-1.939021,-0.7170931,0.84455514,0.13623092,0.29672518,-0.032601055,0.018517185,0.12444521,0.03246715,0.13005468,0.13979247,-0.30236328,0.094584756,-0.009654759
28,-0.11457345,0.25992268,-0.323335,0.39903566,-0.08781681,0.09701974,-0.054406893,-0.3166734,-0.3802005,-1.0331895,0.62264556,-0.6086291,-0.29576808,-1.0049766,0.06479559,-0.589711,-1.4811746,-0.54133236,0.5463516,0.23593554,0.1923553,0.09136563,0.03264968,0.1488467,0.02163399,-0.010917723,0.17044586,-0.24430162,0.05320854,0.0016367435
29,0.09701987,0.07090035,-0.073503785,0.25105542,0.17912278,-0.050812624,0.12323953,-0.28485742,-0.12922211,-0.1893636,0.13676688,-0.06281197,-0.13898975,-0.51537013,-0.016687972,0.015172574,0.13501883,0.06992469,-0.12085802,0.15063098,0.08839996,-0.0678344,-0.12663364,0.033007216,0.005760624,-0.016226407,0.048443604,0.061128285,-0.2066806,-0.21441983
30,-0.11417926,0.22260936,-0.18822967,0.2976875,0.045941338,0.07980047,0.028005162,-0.06518728,-0.16350855,-0.47806758,0.3805767,-0.3588863,-0.20331965,-0.6171002,-0.032746878,-0.20703767,-0.69145924,-0.19787626,0.31097683,-0.009647911,0.18664652,-0.050954547,-0.04190027,-0.023722036,0.0878488,0.08115648,0.012695063,-0.11029048,0.022740155,-0.111615635
31,-0.13825831,0.3213732,-0.32121104,0.3481305,-0.121395655,0.13090728,-0.20898284,-0.025848422,-0.43922758,-1.1719524,0.5662626,-0.5887977,-0.32862648,-1.124736,0.065574445,-0.4597921,-1.6927963,-0.6692978,0.63485414,0.21237707,0.3625184,0.011434409,-0.148734,0.098014615,0.17913485,0.12294227,0.19222447,-0.18962945,0.099124834,0.008623405
32,-0.31476802,0.3448875,-0.62602335,0.48979914,-0.3745631,0.18300597,-0.51658463,-0.28742266,-0.60092056,-1.6965872,0.9393316,-0.77221024,-0.28576773,-1.5085284,0.23628563,-0.76659817,-2.7291012,-0.9857557,1.0799086,0.17998998,0.40216178,0.08403025,0.024730004,0.2219498,0.17382047,-0.031967375,0.31674832,-0.459701,0.18677808,0.08071456
33,-0.15982094,0.31088847,-0.26092026,0.33707136,0.001935611,0.07237416,0.0019146793,-0.18333143,-0.28922537,-0.69336927,0.36706513,-0.39875448,-0.22375603,-0.76683474,0.041114982,-0.28451532,-1.0432519,-0.3855443,0.3830842,0.02195453,0.18069066,-0.027036771,-0.140567,0.10705475,0.08028779,0.10441388,0.080027565,-0.2907644,0.058306456,-0.15027608
34,0.11183304,0.1835135,-0.36522222,0.32516035,0.3094008,-0.076482214,0.19430602,-0.401047,-0.27988005,-0.43513447,0.33646506,-0.21082446,-0.09143877,-0.6333595,0.111694075,-0.1020759,0.11759888,0.10715725,-0.12551335,0.031434927,0.1651478,-0.22432876,-0.21106754,0.053171832,0.09582458,-0.15148406,-0.12022793,-0.07120711,-0.10444446,-0.26382926
35,0.049577095,0.08443317,-0.10538522,0.23682325,0.21679139,0.017283147,0.20377801,-0.2550039,-0.009762346,-0.26013687,0.30123267,-0.102500595,-0.18956925,-0.48456544,-0.0023509613,-0.056903694,-0.008848896,0.046623785,-0.03664712,0.13076346,0.17041284,-0.092529476,-0.030256344,0.013162425,0.08632645,-0.12194875,0.009814043,0.008950041,-0.15915522,-0.2221637
36,-0.35584664,0.49066672,-0.56579584,0.3859653,-0.23951751,0.24365814,-0.42647296,-0.2180785,-0.6088041,-1.534289,0.8176185,-0.90894735,-0.43044204,-1.6295986,0.055394474,-0.7127186,-2.4256086,-0.89187,1.0278664,0.10202112,0.41897413,-0.026404418,-0.09779159,0.041528977,0.3282916,0.055460934,0.31866,-0.44463518,0.20327744,-0.13315754
37,0.0026844284,0.4757438,-0.31018472,0.41631436,-0.027628696,0.13715218,0.06707269,-0.18406418,-0.3960236,-0.74430436,0.55061316,-0.4957983,-0.31841198,-0.90307194,0.12823129,-0.25673535,-0.9245563,-0.3479689,0.3023152,0.14448155,0.19227579,-0.018688884,-0.13401534,0.13182835,0.06334702,0.22253425,0.1566019,-0.2975912,0.0016752571,-0.20988852
38,-0.110280156,0.5353949,-0.35205895,0.37511888,-0.07729488,0.17997096,-0.0954622,-0.03075645,-0.32300034,-0.9408934,0.5548129,-0.48756462,-0.24610302,-0.961601,0.06843638,-0.37250057,-1.3834816,-0.3629248,0.32803148,0.20272765,0.19001786,-0.03277198,-0.050023362,0.2150972,0.040378623,0.084168196,0.038538042,-0.11871699,0.050717942,-0.098352544
